c_abbrev9,c_city,c_description,c_description_len,c_destination,c_temp,cx_description_city,cx_destination_city,h_loca_latitude,h_loca_longitude,h_plc_description,h_plc_district,h_plc_identifier,h_plc_number,h_plc_reference_place,i_abbrev9,i_city,i_description,o_abbrev9,o_city,o_description,o_destination,u_nonpublic,u_plc_notes,ux_usecity_description,ux_usecity_destination
24ST,San Francisco,24th St. Mission BART,21,San Francisco,0,24th St. Mission BART,San Francisco,37.7523272,-122.4182055,24th St. Mission BART,14,24ST,24THMISS,,24TH MISS,San Francisco,24th St. Mission BART,24ST,,24th St. Mission BART,San Francisco,,,,
STFD MIPT,Redwood City,Stanford Midpoint Center,24,Stanford Midpoint Center,0,"Stanford Midpoint Center, Redwood City","Stanford Midpoint Center, Redwood City",37.4835042,-122.2046332,Stanford Midpoint Center,25,STMI,STFDMIPT,,STFD MIPT,Redwood City,Stanford Midpoint Center,,,Stanford Midpoint Center,,,,1,1
DEER CREK,Palo Alto,3475 Deer Creek Road,20,Stanford Research Park,2,"3475 Deer Creek Road, Palo Alto",Stanford Research Park,37.3953545,-122.1497658,3475 Deer Creek Road,22,DECR,DEERCREK,,DEER CREK,Palo Alto,3475 Deer Creek Road,,,3475 Deer Creek Road,Stanford Research Park,,,1,
VAHO PALO,Palo Alto,Palo Alto VA Medical Center,27,Palo Alto VA Medical Center,2,Palo Alto VA Medical Center,Palo Alto VA Medical Center,37.4039044,-122.1413960,Palo Alto VA Medical Center,22,VAPA,VAHOPALO,,VAHO PALO,Palo Alto,Palo Alto VA Medical Center,,,Palo Alto VA Medical Center,,,,,0
STAN MEDI,Santa Clara County,Stanford Medical Center,23,Stanford Medical Center,0,Stanford Medical Center,Stanford Medical Center,37.4359589,-122.1726254,Stanford Medical Center,97,STME,STANMEDI,,STAN MEDI,Santa Clara County,Stanford Medical Center,,,Stanford Medical Center,,,,,0
STAN SHOP,Stanford,Stanford Shopping Center,24,Stanford Shopping Center,2,Stanford Shopping Center,Stanford Shopping Center,37.4383433,-122.1714486,Stanford Shopping Center,97,STSH,STANSHOP,,STAN SHOP,Santa Clara County,Stanford Shopping Center,,Stanford,,,,,,0
STAN OVAL,Santa Clara County,Stanford Oval,13,Stanford University,2,Stanford Oval,Stanford University,37.4292722,-122.1689254,Stanford Oval,97,STOV,STANOVAL,,STAN OVAL,Santa Clara County,Stanford Oval,,,,Stanford University,,,,0
PALO CALT,Palo Alto,Palo Alto Caltrain,18,Palo Alto Caltrain,2,Palo Alto Caltrain,Palo Alto Caltrain,37.4439670,-122.1662650,Palo Alto Caltrain,22,PACT,PALOCALT,,PALO CALT,Palo Alto,Palo Alto Caltrain,,,,,,,,0
WILL MIDD,Menlo Park,Willow Road & Middlefield Road,30,Willow Road & Middlefield Road,2,"Willow Road & Middlefield Road, Menlo Park","Willow Road & Middlefield Road, Menlo Park",37.4543148,-122.1635511,Willow Road & Middlefield Road,24,WIMI,WILLMIDD,,WILL MIDD,Menlo Park,Willow Road & Middlefield Road,,,Willow Road & Middlefield Road,,,,1,1
PAGE ELCA,Palo Alto,Page Mill Road & El Camino Real,31,Page Mill Road & El Camino Real,2,"Page Mill Road & El Camino Real, Palo Alto","Page Mill Road & El Camino Real, Palo Alto",37.4230860,-122.1422506,Page Mill Road & El Camino Real,22,PMEC,PAGEELCA,,PAGE ELCA,Palo Alto,Page Mill Road & El Camino Real,,,Page Mill Road & El Camino Real,,,,1,1
EMBA WLWD,Palo Alto,Embarcadero Road & Wildwood Lane,32,Embarcadero Road & Wildwood Lane,2,"Embarcadero Road & Wildwood Lane, Palo Alto","Embarcadero Road & Wildwood Lane, Palo Alto",37.4465904,-122.1276224,Embarcadero Road & Wildwood Lane,22,EMWW,EMBAWLWD,,EMBA WLWD,Palo Alto,Embarcadero Road & Wildwood Lane,,,Embarcadero Road & Wildwood Lane,,,,1,1
SUN. MCRO,Menlo Park,Facebook (1 Hacker Way),23,Facebook (1 Hacker Way),0,"Facebook (1 Hacker Way), Menlo Park","Facebook (1 Hacker Way), Menlo Park",37.4842588,-122.1476969,Facebook (1 Hacker Way),24,SUMI,SUN.MCRO,,SUN. MCRO,Menlo Park,Facebook (1 Hacker Way),,,Facebook (1 Hacker Way),,,,1,1
UNIV BAY,East Palo Alto,University Ave. & Bay Road,26,University Ave. & Bay Road,0,"University Ave. & Bay Road, East Palo Alto","University Ave. & Bay Road, East Palo Alto",37.4716325,-122.1395610,University Ave. & Bay Road,26,UNBA,UNIV BAY,,UNIV BAY,East Palo Alto,University Ave. & Bay Road,,,University Ave. & Bay Road,,,,1,1
CUSH ENPT,Fremont,Cushing Parkway and Northport Loop East,39,Cushing Parkway and Northport Loop East,1,"Cushing Parkway and Northport Loop East, Fremont","Cushing Parkway and Northport Loop East, Fremont",37.4897138,-121.9526703,Cushing Parkway and Northport Loop East,07,CUNP,CUSHENPT,,CUSH ENPT,Fremont,Cushing Parkway and Northport Loop East,,,Cushing Parkway and Northport Loop East,,,,1,1
ALDE LRT,Milpitas,Alder Dr. & Tasman Dr.,22,Alder Dr. & Tasman Dr.,0,Alder Dr. & Tasman Dr.,Alder Dr. & Tasman Dr.,37.4137606,-121.9167701,Alder Dr. & Tasman Dr.,23,ALRT,ALDELRT,,ALDE LRT,Milpitas,Alder Dr. & Tasman Dr.,,,Alder Dr. & Tasman Dr.,,,,,0
GRAT MALL,Milpitas,Great Mall/Main Transit Center,30,Great Mall/Main Transit Center,0,"Great Mall/Main Transit Center, Milpitas","Great Mall/Main Transit Center, Milpitas",37.4138609,-121.9001573,Great Mall/Main Transit Center,23,GTMA,GRATMALL,,GRAT MALL,Milpitas,Great Mall/Main Transit Center,,,Great Mall/Main Transit Center,,,,1,1
WELL MAIN,Milpitas,Weller Lane & Main St.,22,Weller Lane & Main St.,0,"Weller Lane & Main St., Milpitas","Weller Lane & Main St., Milpitas",37.4320247,-121.9073484,Weller Lane & Main St.,23,WEMA,WELLMAIN,,WELL MAIN,Milpitas,Weller Lane & Main St.,,,Weller Lane & Main St.,,,,1,1
BAYS WARR,Fremont,Bayside Parkway & West Warren Ave.,34,Bayside Parkway & West Warren Ave.,0,"Bayside Parkway & West Warren Ave., Fremont","Bayside Parkway & West Warren Ave., Fremont",37.4821461,-121.9416590,Bayside Parkway & West Warren Ave.,07,BAWA,BAYSWARR,,BAYS WARR,Fremont,Bayside Parkway & West Warren Ave.,,,Bayside Parkway & West Warren Ave.,,,,1,1
FRMT LAND,Fremont,Fremont Blvd. & Landing Parkway,31,Fremont Blvd. & Landing Parkway,0,"Fremont Blvd. & Landing Parkway, Fremont","Fremont Blvd. & Landing Parkway, Fremont",37.4886259,-121.9462009,Fremont Blvd. & Landing Parkway,07,FRLA,FRMTLAND,,FRMT LAND,Fremont,Fremont Blvd. & Landing Parkway,,,Fremont Blvd. & Landing Parkway,,,,1,1
FRMT LAKV,Fremont,Fremont Blvd. & Lakeview Blvd.,30,Fremont Blvd. & Lakeview Blvd.,0,"Fremont Blvd. & Lakeview Blvd., Fremont","Fremont Blvd. & Lakeview Blvd., Fremont",37.4707701,-121.9307936,Fremont Blvd. & Lakeview Blvd.,07,FRLV,FRMTLAKV,,FRMT LAKV,Fremont,Fremont Blvd. & Lakeview Blvd.,,,,,,,1,1
GATE BAYS,Fremont,Gateway Blvd. & Bayside Parkway,31,Gateway Blvd. & Bayside Parkway,0,"Gateway Blvd. & Bayside Parkway, Fremont","Gateway Blvd. & Bayside Parkway, Fremont",37.4759312,-121.9373203,Gateway Blvd. & Bayside Parkway,07,GWBS,GATEBAYS,,GATE BAYS,Fremont,Gateway Blvd. & Bayside Parkway,,,Gateway Blvd. & Bayside Parkway,,,,1,1
GATE FREM,Fremont,Gateway Blvd. & Fremont Blvd.,29,Gateway Blvd. & Fremont Blvd.,0,"Gateway Blvd. & Fremont Blvd., Fremont","Gateway Blvd. & Fremont Blvd., Fremont",37.4734268,-121.9417489,Gateway Blvd. & Fremont Blvd.,07,GWFR,GATEFREM,,GATE FREM,Fremont,Gateway Blvd. & Fremont Blvd.,,,Gateway Blvd. & Fremont Blvd.,,,,1,1
KATE BENI,Fremont,Kato Road & Benicia St.,23,Kato Road & Benicia St.,2,"Kato Road & Benicia St., Fremont","Kato Road & Benicia St., Fremont",37.4834618,-121.9327799,Kato Road & Benicia St.,07,KABE,KATEBENI,,KATE BENI,Fremont,Kato Road & Benicia St.,,,Kato Road & Benicia St.,,,,1,1
WARN LAND,Fremont,West Warren Ave. & Landing Parkway,34,West Warren Ave. & Landing Parkway,2,West Warren Ave. & Landing Parkway,West Warren Ave. & Landing Parkway,37.4836471,-121.9418652,West Warren Ave. & Landing Parkway,07,WALD,WARNLAND,,WARN LAND,Fremont,West Warren Ave. & Landing Parkway,,,West Warren Ave. & Landing Parkway,,,,,
WARM MISS,Fremont,Warm Springs Blvd. & Mission Blvd.,34,Warm Springs Blvd. & Mission Blvd.,2,"Warm Springs Blvd. & Mission Blvd., Fremont","Warm Springs Blvd. & Mission Blvd., Fremont",37.4891334,-121.9290380,Warm Springs Blvd. & Mission Blvd.,07,WAMI,WARMMISS,,WARM MISS,Fremont,Warm Springs Blvd. & Mission Blvd.,,,Warm Springs Blvd. & Mission Blvd.,,,,1,1
WARM WARR,Fremont,Warm Springs Blvd. & Warren Ave.,32,Warm Springs Blvd. & Warren Ave.,2,"Warm Springs Blvd. & Warren Ave., Fremont","Warm Springs Blvd. & Warren Ave., Fremont",37.4867069,-121.9276930,Warm Springs Blvd. & Warren Ave.,07,WAWA,WARMWARR,,WARM WARR,Fremont,Warm Springs Blvd. & Warren Ave.,,,Warm Springs Blvd. & Warren Ave.,,,,1,1
KATO MLMT,Fremont,Kato Road & Milmont Dr.,23,Kato Road & Milmont Dr.,2,"Kato Road & Milmont Dr., Fremont","Kato Road & Milmont Dr., Fremont",37.4616113,-121.9218380,Kato Road & Milmont Dr.,07,KAMI,KATOMLMT,,KATO MLMT,Fremont,Kato Road & Milmont Dr.,,,Kato Road & Milmont Dr.,,,,1,1
W.S. KATO,Fremont,Warren Ave. & Kato Road,23,Warren Ave. & Kato Road,0,"Warren Ave. & Kato Road, Fremont","Warren Ave. & Kato Road, Fremont",37.4640178,-121.9144336,Warren Ave. & Kato Road,07,WAKA,W.S.KATO,,W.S. KATO,Fremont,Warren Ave. & Kato Road,,,Warren Ave. & Kato Road,,,,1,1
MILP DIXN,Milpitas,Milpitas Blvd. & Dixon Landing Road,35,Milpitas Blvd. & Dixon Landing Road,2,"Milpitas Blvd. & Dixon Landing Road, Milpitas","Milpitas Blvd. & Dixon Landing Road, Milpitas",37.4572799,-121.9117248,Milpitas Blvd. & Dixon Landing Road,23,MIDI,MILPDIXN,,MILP DIXN,Milpitas,Milpitas Blvd. & Dixon Landing Road,,,Milpitas Blvd. & Dixon Landing Road,,,,1,1
WAHA,Fremont,Warm Springs Blvd. & Hammond Ave.,33,Warm Springs Blvd. & Hammond Ave.,0,"Warm Springs Blvd. & Hammond Ave., Fremont","Warm Springs Blvd. & Hammond Ave., Fremont",37.4779237,-121.9226746,Warm Springs Blvd. & Hammond Ave.,07,WAHA,WARMHAMM,,WARM HAMM,Fremont,Warm Springs Blvd. & Hammond Ave.,WAHA,,Warm Springs Blvd. & Hammond Ave.,,,,1,1
WARM STAR,Fremont,Warm Springs Blvd. & Starlite Way,33,Warm Springs Blvd. & Starlite Way,2,"Warm Springs Blvd. & Starlite Way, Fremont","Warm Springs Blvd. & Starlite Way, Fremont",37.4726585,-121.9196310,Warm Springs Blvd. & Starlite Way,07,WAST,WARMSTAR,,WARM STAR,Fremont,Warm Springs Blvd. & Starlite Way,,,Warm Springs Blvd. & Starlite Way,,,,1,1
WARM HAMM,Fremont,Warm Springs Blvd. & Hammond Ave.,33,Warm Springs Blvd. & Hammond Ave.,0,"Warm Springs Blvd. & Hammond Ave., Fremont","Warm Springs Blvd. & Hammond Ave., Fremont",37.4763816,-121.9217577,Warm Springs Blvd. & Hammond Ave.,07,WSHA,WARMHAMM,,WARM HAMM,Fremont,Warm Springs Blvd. & Hammond Ave.,,,,,,,1,1
INDN COCR,Milpitas,India Community Center,22,India Community Center,0,"India Community Center, Milpitas","India Community Center, Milpitas",37.4317001,-121.8941378,India Community Center,23,IDCC,INDNCOCR,,INDN COCR,Milpitas,India Community Center,,,India Community Center,,,,1,1
HDMA,San Mateo,Hillsdale Shopping Center,25,Hillsdale Shopping Center,1,"Hillsdale Shopping Center, San Mateo","Hillsdale Shopping Center, San Mateo",37.5351863,-122.2998181,Hillsdale Shopping Center,19,HDMA,HILLMALL,,HILL MALL,San Mateo,Hillsdale Shopping Center,HDMA,,Hillsdale Shopping Center,,,,1,1
H.M. CALT,San Mateo,El Camino Real & Hillsdale Blvd.,32,El Camino Real & Hillsdale Blvd.,1,"El Camino Real & Hillsdale Blvd., San Mateo","El Camino Real & Hillsdale Blvd., San Mateo",37.5362752,-122.2969632,El Camino Real & Hillsdale Blvd.,19,HLMA,H.M.CALT,,H.M. CALT,San Mateo,El Camino Real & Hillsdale Blvd.,,,El Camino Real & Hillsdale Blvd.,,,,1,1
HILL SARA,San Mateo,Hillsdale Blvd. & Saratoga Dr.,30,Hillsdale Blvd. & Saratoga Dr.,1,"Hillsdale Blvd. & Saratoga Dr., San Mateo","Hillsdale Blvd. & Saratoga Dr., San Mateo",37.5410534,-122.2915263,Hillsdale Blvd. & Saratoga Dr.,19,HBSA,HILLSARA,,HILL SARA,San Mateo,Hillsdale Blvd. & Saratoga Dr.,,,Hillsdale Blvd. & Saratoga Dr.,,,,1,1
VINT METR,Foster City,Vintage Park Dr. & Metro Center Blvd.,37,Vintage Park Dr. & Metro Center Blvd.,1,"Vintage Park Dr. & Metro Center Blvd., Foster City","Vintage Park Dr. & Metro Center Blvd., Foster City",37.5593935,-122.2766708,Vintage Park Dr. & Metro Center Blvd.,18,VIMC,VINTMETR,,VINT METR,Foster City,Vintage Park Dr. & Metro Center Blvd.,,,Vintage Park Dr. & Metro Center Blvd.,,,,1,1
ORCL HQRS,Redwood City,Oracle Headquarters,19,Oracle Headquarters,0,"Oracle Headquarters, Redwood City","Oracle Headquarters, Redwood City",37.5302243,-122.2641729,Oracle Headquarters,25,ORAL,ORCLHQRS,,ORCL HQRS,Redwood City,Oracle Headquarters,,,,,,,1,1
F.C. CICE,Foster City,Foster City Civic Center,24,Foster City Civic Center,0,Foster City Civic Center,Foster City Civic Center,37.5599779,-122.2702367,Foster City Civic Center,18,FCCC,F.C.CICE,,F.C. CICE,Foster City,Foster City Civic Center,,,,,,,,0
F.C. CHES,Foster City,1163 Chess Dr.,14,1163 Chess Dr.,1,"1163 Chess Dr., Foster City","1163 Chess Dr., Foster City",37.5664053,-122.2723188,1163 Chess Dr.,18,FCCD,F.C.CHES,,F.C. CHES,Foster City,1163 Chess Dr.,,,1163 Chess Dr.,,,,1,1
3RD CNTR,Alameda,3rd St. & Central Ave.,22,Encinal High School,0,"3rd St. & Central Ave., Alameda","Encinal High School, Alameda",37.7725815,-122.2881756,3rd St. & Central Ave.,01,3RCN,3RD CNTR,,3RD CNTR,Alameda,3rd St. & Central Ave.,,,,Encinal High School,,,1,1
3RD S.C.,Alameda,3rd St. & Santa Clara Ave.,26,3rd St. & Santa Clara Ave.,0,"3rd St. & Santa Clara Ave., Alameda","3rd St. & Santa Clara Ave., Alameda",37.7732681,-122.2882275,3rd St. & Santa Clara Ave.,01,3RSC,3RD S.C.,,3RD S.C.,Alameda,3rd St. & Santa Clara Ave.,,,,,,,1,1
ENCI SRHS,Alameda,Encinal High School,19,Encinal High School,2,"Encinal High School, Alameda","Encinal High School, Alameda",37.7727643,-122.2887097,Encinal High School,01,ENSR,ENCISRHS,,ENCI SRHS,Alameda,Encinal High School,,,Encinal High School,,,,1,1
USS HORN,Alameda,U.S.S. Hornet,13,Alameda Point,2,"U.S.S. Hornet, Alameda","Alameda Point, Alameda",37.7721940,-122.2986390,U.S.S. Hornet,01,USHO,USS HORN,,USS HORN,Alameda,U.S.S. Hornet,,,U.S.S. Hornet,Alameda Point,,,1,1
AUGH MECA,Alameda,Aughinbaugh Way & Mecartney Road,32,Aughinbaugh Way & Mecartney Road,0,"Aughinbaugh Way & Mecartney Road, Alameda","Aughinbaugh Way & Mecartney Road, Alameda",37.7386040,-122.2520501,Aughinbaugh Way & Mecartney Road,01,AUMA,AUGHMECA,,AUGH MECA,Alameda,Aughinbaugh Way & Mecartney Road,,,Aughinbaugh Way & Mecartney Road,,,,1,1
HARB FERR,Alameda,Harbor Bay Ferry Terminal,25,Harbor Bay Ferry Terminal,2,"Harbor Bay Ferry Terminal, Alameda","Harbor Bay Ferry Terminal, Alameda",37.7364748,-122.2565438,Harbor Bay Ferry Terminal,01,HBFT,HARBFERR,,HARB FERR,Alameda,Harbor Bay Ferry Terminal,,,,,,,1,1
ISLA MECA,Alameda,Island Dr. & Mecartney Road,27,Bay Farm Island,2,"Island Dr. & Mecartney Road, Alameda",Bay Farm Island,37.7357956,-122.2401051,Island Dr. & Mecartney Road,01,ISMA,ISLAMECA,,ISLA MECA,Alameda,Island Dr. & Mecartney Road,,,Island Dr. & Mecartney Road,Bay Farm Island,,,1,
MCAR IRON,Alameda,Mecartney Road & Ironwood Road,30,Mecartney Road & Ironwood Road,0,"Mecartney Road & Ironwood Road, Alameda","Mecartney Road & Ironwood Road, Alameda",37.7370701,-122.2451708,Mecartney Road & Ironwood Road,01,MCIR,MCARIRON,,MCAR IRON,Alameda,Mecartney Road & Ironwood Road,,,Mecartney Road & Ironwood Road,,,,1,1
MCAR VERD,Alameda,Mecartney Road & Verdemar Dr.,29,Mecartney Road & Verdemar Dr.,2,"Mecartney Road & Verdemar Dr., Alameda","Mecartney Road & Verdemar Dr., Alameda",37.7366023,-122.2445097,Mecartney Road & Verdemar Dr.,01,MCVE,MCARVERD,,MCAR VERD,Alameda,Mecartney Road & Verdemar Dr.,,,Mecartney Road & Verdemar Dr.,,,,1,1
SOLP HARB,Alameda,South Loop Road & Harbor Bay Parkway,36,South Loop Road & Harbor Bay Parkway,0,"South Loop Road & Harbor Bay Parkway, Alameda","South Loop Road & Harbor Bay Parkway, Alameda",37.7253455,-122.2398201,South Loop Road & Harbor Bay Parkway,01,SLHA,SOLPHARB,,SOLP HARB,Alameda,South Loop Road & Harbor Bay Parkway,,,South Loop Road & Harbor Bay Parkway,,,,1,1
CENT WEBS,Alameda,Central Ave. & Webster St.,26,Central Ave. & Webster St.,2,"Central Ave. & Webster St., Alameda","Central Ave. & Webster St., Alameda",37.7715437,-122.2766019,Central Ave. & Webster St.,01,CNWB,CENTWEBS,,CENT WEBS,Alameda,Central Ave. & Webster St.,,,,,,,1,1
GRAD SHOR,Alameda,Grand St. & Shoreline Dr.,25,Grand St. & Shoreline Dr.,2,"Grand St. & Shoreline Dr., Alameda","Grand St. & Shoreline Dr., Alameda",37.7595142,-122.2638042,Grand St. & Shoreline Dr.,01,GRSH,GRADSHOR,,GRAD SHOR,Alameda,Grand St. & Shoreline Dr.,,,,,,,1,1
WEBS SANT,Alameda,Webster St. & Santa Clara Ave.,30,Webster St. & Santa Clara Ave.,1,"Webster St. & Santa Clara Ave., Alameda","Webster St. & Santa Clara Ave., Alameda",37.7734413,-122.2765734,Webster St. & Santa Clara Ave.,01,WESC,WEBSSANT,,WEBS SANT,Alameda,Webster St. & Santa Clara Ave.,,,Webster St. & Santa Clara Ave.,,,,1,1
WOOD SCHL,Alameda,Will C. Wood Middle School,26,Will C. Wood Middle School,0,"Will C. Wood Middle School, Alameda","Will C. Wood Middle School, Alameda",37.7616410,-122.2627550,Will C. Wood Middle School,01,WOSC,WOODSCHL,,WOOD SCHL,Alameda,Will C. Wood Middle School,,,Will C. Wood Middle School,,,,1,1
HIGH OTIS,Alameda,High St. & Otis Dr.,19,High St. & Otis Dr.,2,"High St. & Otis Dr., Alameda","High St. & Otis Dr., Alameda",37.7519514,-122.2389595,High St. & Otis Dr.,01,HIOT,HIGHOTIS,,HIGH OTIS,Alameda,High St. & Otis Dr.,,,,,,,1,1
RDVY PALA,Alameda,Robert Davey Jr. Dr. & Packet Landing Dr.,41,Robert Davey Jr. Dr. & Packet Landing Dr.,2,"Robert Davey Jr. Dr. & Packet Landing Dr., Alameda","Robert Davey Jr. Dr. & Packet Landing Dr., Alameda",37.7439558,-122.2393839,Robert Davey Jr. Dr. & Packet Landing,01,RDPL,RDVYPALA,,RDVY PALA,Alameda,Robert Davey Jr. Dr. & Packet Landing,,,Robert Davey Jr. Dr. & Packet Landing Dr.,,,,1,1
BVIS GRAN,Alameda,Buena Vista Ave. & Grand St.,28,Buena Vista Ave. & Grand St.,0,"Buena Vista Ave. & Grand St., Alameda","Buena Vista Ave. & Grand St., Alameda",37.7745493,-122.2542854,Buena Vista Ave. & Grand St.,01,BVGR,BVISGRAN,,BVIS GRAN,Alameda,Buena Vista Ave. & Grand St.,,,,,,,1,1
SOSH SHOP,Alameda,Alameda South Shore Center,26,Alameda South Shore Center,2,"Alameda South Shore Center, Alameda","Alameda South Shore Center, Alameda",37.7581037,-122.2519673,Alameda South Shore Center,01,SOSH,SOSHSHOP,,SOSH SHOP,Alameda,Alameda South Shore Center,,,,,,,1,1
ALAM SRHS,Alameda,Alameda High School,19,Alameda High School,2,Alameda High School,Alameda High School,37.7639224,-122.2474000,Alameda High School,01,ALSR,ALAMSRHS,,ALAM SRHS,Alameda,Alameda High School,,,Alameda High School,,,,,0
OTIS PARK,Alameda,Otis Dr. & Park St.,19,Otis Dr. & Park St.,0,"Otis Dr. & Park St., Alameda","Otis Dr. & Park St., Alameda",37.7574868,-122.2483173,Otis Dr. & Park St.,01,OTPS,OTISPARK,PSOT,OTIS PARK,Alameda,Otis Dr. & Park St.,,,Otis Dr. & Park St.,,,,1,1
PARK ENCL,Alameda,Encinal Ave. & Park Ave.,24,Encinal Ave. & Park Ave.,2,"Encinal Ave. & Park Ave., Alameda","Encinal Ave. & Park Ave., Alameda",37.7618070,-122.2429461,Encinal Ave. & Park Ave.,01,PEEN,PARKENCL,,PARK ENCL,Alameda,Encinal Ave. & Park Ave.,,,Encinal Ave. & Park Ave.,,,,1,1
PARK OTIS,Alameda,Park St. & Otis Dr.,19,Park St. & Otis Dr.,2,"Park St. & Otis Dr., Alameda","Park St. & Otis Dr., Alameda",37.7575463,-122.2484327,Park St. & Otis Dr.,01,PSOT,PARKOTIS,,PARK OTIS,Alameda,Park St. & Otis Dr.,,,,,,,1,1
S.C. EVER,Alameda,Santa Clara Ave. & Everett St.,30,Santa Clara Ave. & Everett St.,0,"Santa Clara Ave. & Everett St., Alameda","Santa Clara Ave. & Everett St., Alameda",37.7648525,-122.2409773,Santa Clara Ave. & Everett St.,01,SCEV,S.C.EVER,,S.C. EVER,Alameda,Santa Clara Ave. & Everett St.,,,,,,,1,1
PARK S.C.,Alameda,Santa Clara Ave. and Park St.,29,Santa Clara Ave. and Park St.,2,"Santa Clara Ave. and Park St., Alameda","Santa Clara Ave. and Park St., Alameda",37.7653483,-122.2418705,Santa Clara Ave. & Park St.,01,SCPA,PARKS.C.,,PARK S.C.,Alameda,Santa Clara Ave. & Park St.,,,Santa Clara Ave. and Park St.,,,,1,1
FED. EXPS,Oakland,Sally Ride Way near Air Cargo Road,34,Sally Ride Way near Air Cargo Road,0,"Sally Ride Way near Air Cargo Road, Oakland","Sally Ride Way near Air Cargo Road, Oakland",37.7194022,-122.2178648,Sally Ride Way near Air Cargo Road,10,FEDX,FED.EXPS,,FED. EXPS,Oakland,Sally Ride Way Near Air Cargo Road,,,Sally Ride Way near Air Cargo Road,,,,1,1
HARB PARK,Alameda,Harbor Bay Parkway & Road B,27,Harbor Bay Parkway & Road B,0,"Harbor Bay Parkway & Road B, Alameda","Harbor Bay Parkway & Road B, Alameda",37.7258582,-122.2342989,Harbor Bay Parkway & Road B,01,HBPK,HARBPARK,,HARB PARK,Alameda,Harbor Bay Parkway & Road B,,,Harbor Bay Parkway & Road B,,,,1,1
MAIT HARB,Alameda,Maitland Dr. & Harbor Bay Parkway,33,Maitland Dr. & Harbor Bay Parkway,0,"Maitland Dr. & Harbor Bay Parkway, Alameda","Maitland Dr. & Harbor Bay Parkway, Alameda",37.7292387,-122.2295852,Maitland Dr. & Harbor Bay Parkway,01,MAHA,MAITHARB,,MAIT HARB,Alameda,Maitland Dr. & Harbor Bay Parkway,,,Maitland Dr. & Harbor Bay Parkway,,,,1,1
EARH LANG,Oakland,Earhart Road & Langley St.,26,Earhart Road & Langley St.,0,"Earhart Road & Langley St., Oakland","Earhart Road & Langley St., Oakland",37.7348965,-122.2154457,Earhart Road & Langley St.,10,EALA,EARHLANG,,EARH LANG,Oakland,Earhart Road & Langley St.,,,Earhart Road & Langley St.,,,,1,1
OAKL AIRP,Oakland,Oakland Airport,15,Oakland Airport,2,Oakland Airport,Oakland Airport,37.7126555,-122.2123546,Oakland Airport,10,OAIR,OAKLAIRP,,OAKL AIRP,Oakland,Oakland Airport,,,,,,,,0
OAKL AIRR,Oakland,Oakland Airport (Receiving Area),32,Oakland Airport,2,Oakland Airport (Receiving Area),Oakland Airport,37.7176050,-122.2082190,Oakland Airport (Receiving Area),10,OARC,OAKLAIRR,,OAKL AIRR,Oakland,Oakland Airport (Receiving Area),,,Oakland Airport (Receiving Area),Oakland Airport,1,,,
UPS OAKL,Oakland,Pardee Dr. & Swan Way,21,Pardee Dr. & Swan Way,0,"Pardee Dr. & Swan Way, Oakland","Pardee Dr. & Swan Way, Oakland",37.7333750,-122.2052112,Pardee Dr. & Swan Way,10,UPSO,UPS OAKL,,UPS OAKL,Oakland,Pardee Dr. & Swan Way,,,Pardee Dr. & Swan Way,,,,1,1
BAY FWAY,Alameda,Island Dr. Park and Ride,24,Bay Farm Island,2,"Island Dr. Park and Ride, Alameda",Bay Farm Island,37.7452264,-122.2367377,Island Dr. Park and Ride,01,BYFR,BAY FWAY,,BAY FWAY,Alameda,Island Dr. Park and Ride,,,Island Dr. Park and Ride,Bay Farm Island,,,1,
HIGH ENCI,Alameda,High St. & Encinal Ave.,23,High St. & Encinal Ave.,2,"High St. & Encinal Ave., Alameda","High St. & Encinal Ave., Alameda",37.7564498,-122.2342732,High St. & Encinal Ave.,01,HIEN,HIGHENCI,,HIGH ENCI,Alameda,High St. & Encinal Ave.,,,High St. & Encinal Ave.,,,,1,1
HIGH S.J.,Alameda,High St. & San Jose Ave.,24,High St. & San Jose Ave.,0,"High St. & San Jose Ave., Alameda","High St. & San Jose Ave., Alameda",37.7556557,-122.2361673,High St. & San Jose Ave.,01,HISJ,HIGHS.J.,,HIGH S.J.,Alameda,High St. & San Jose Ave.,,,,,,,1,1
ISLA RECR,Alameda,Island Dr. and Robert Davey Jr. Dr.,35,Bay Farm Island,0,"Island Dr. and Robert Davey Jr. Dr., Alameda","Bay Farm Island, Alameda",37.7431945,-122.2375780,Island Dr. and Robert Davey Jr. Dr.,01,ISRE,ISLARECR,,ISLA RECR,Alameda,Island Dr. And Robert Davey Jr. Dr.,,,Island Dr. and Robert Davey Jr. Dr.,Bay Farm Island,,,1,1
LINC MIDD,Alameda,Lincoln Middle School,21,Lincoln Middle School,2,"Lincoln Middle School, Alameda","Lincoln Middle School, Alameda",37.7529750,-122.2318850,Lincoln Middle School,01,LIMD,LINCMIDD,,LINC MIDD,Alameda,Lincoln Middle School,,,,,,,1,1
BDWY BLAN,Alameda,Broadway & Blanding Ave.,24,Broadway & Blanding Ave.,2,"Broadway & Blanding Ave., Alameda","Broadway & Blanding Ave., Alameda",37.7686374,-122.2339078,Broadway & Blanding Ave.,01,BDBL,BDWYBLAN,,BDWY BLAN,Alameda,Broadway & Blanding Ave.,,,,,,,1,1
